Rank,Title,Studio,Overall_Gross,Overall_Theaters,Opening_Gross,Opening_Theaters,Date
1,Sin City,Dim.,74103820,3230,29120273,3230,4/1/05
2,L.A. Confidential,WB,64616940,1625,5211198,769,9/19/97
3,Blade Runner,WB,32868943,1325,6150002,1295,6/25/82
4,Wild Things,Sony,30147739,2177,9622444,2177,3/20/98
5,Memento,NM,25544867,531,235488,11,3/16/01
6,Fargo,Gram.,24611975,716,730265,36,3/8/96
7,Body Heat,WB,24058838,-,564593,34,8/28/81
8,The Black Dahlia,Uni.,22545080,2236,10005895,2226,9/15/06
9,Against All Odds,Col.,21689062,979,3766128,976,3/2/84
10,Deep Cover,NL,16639799,902,3451356,901,4/17/92
11,Devil in a Blue Dress,Sony,16140822,1432,5422385,1432,9/29/95
12,Twilight (1998),Par.,15055091,1354,5866411,1351,3/6/98
13,Kiss of Death,Fox,14942422,1627,5317066,1623,4/21/95
14,Hollywoodland,Focus,14426251,1551,5926177,1548,9/8/06
15,The Grifters,Mira.,13446769,780,71034,2,12/7/90
16,True Confessions,MGM,12850276,-,n/a,-,9/25/81
17,D.O.A.,BV,12706478,908,3751432,875,3/18/88
18,The Postman Always Rings Twice,Par.,12376625,-,n/a,-,3/20/81
19,Mulholland Falls,MGM,11526099,1625,4306221,1625,4/26/96
20,Thief,MGM,11492915,-,n/a,-,3/27/81
21,Someone to Watch Over Me,Col.,10278549,894,2908796,892,10/9/87
22,The Two Jakes,Par.,10005969,1206,3729149,1206,8/10/90
23,The Man Who Wasn't There,USA,7504257,259,664404,39,11/2/01
24,Mulholland Drive,Uni.,7220243,247,587591,66,10/8/01
25,U-Turn,Sony,6682098,1311,2730440,1230,10/3/97
26,Night and the City,Fox,6202756,1100,43036,1,10/16/92
27,Palmetto,Sony,5878911,1505,2876753,1505,2/20/98
28,The Last Seduction,Oct.,5842603,151,45058,5,10/26/94
29,52 Pick-Up,Can.,5186646,730,1654835,730,11/7/86
30,Kiss Kiss, Bang Bang,WB,4243756,226,180660,8,10/21/05
31,Playing God,BV,4166918,1479,1937374,1479,10/17/97
32,Blood Simple,Circ,3851855,-,n/a,-,1/18/85
33,Bound,Gram.,3802260,262,900902,261,10/4/96
34,Lost Highway,Oct.,3675201,337,212710,12,2/21/97
35,Romeo Is Bleeding,Gram.,3275585,247,1225737,247,2/4/94
36,China Moon,Orion,3038499,377,1183843,377,3/4/94
37,After Dark, My Sweet,Ave,2678414,153,244919,30,8/24/90
38,Red Rock West,Roxie,2502551,22,11562,1,1/28/94
39,Transsiberian,First,2206405,154,34615,2,7/18/08
40,Brick,Focus,2075743,45,83574,2,3/31/06
41,Novocaine,Art.,2036682,189,418098,105,11/16/01
42,Goodbye Lover,WB,1940299,865,1011175,865,4/16/99
43,Stormy Monday,Atl,1791328,49,44734,2,4/22/88
44,The Gingerbread Man,Poly,1677131,30,118278,8,1/23/98
45,City of Industry,Orion,1568258,441,803811,441,3/14/97
46,One False Move,IRS,1543112,32,44545,5,5/8/92
47,The Hot Spot,Orion,1293976,365,112188,23,10/12/90
48,Blood and Wine,FoxS,1094668,166,420993,166,2/21/97
49,Mike's Murder,WB,1059966,80,234438,80,3/9/84
50,The Salton Sea,WB,764554,30,166309,15,4/26/02
51,Deceiver,MGM,572433,211,279103,211,1/30/98
52,The Underneath,Gram.,536023,21,141345,21,4/28/95
53,The Singing Detective,ParC,337174,46,28324,5,10/24/03
54,Kill Me Again,Istr,283694,221,66013,221,10/27/89
55,Under Suspicion (1992),Col.,221295,7,47349,2,2/28/92
56,Man Bites Dog,Roxie,205569,4,15176,1,1/15/93
57,No Good Deed,MAC,181600,402,127000,402,9/12/03
58,Keys to Tulsa,Gram.,57252,24,28318,24,4/11/97
59,This World Then the Fireworks,MGM,51618,5,19906,5,7/11/97
60,Following,Zeit.,48482,2,3668,1,4/2/99
61,Love the Hard Way,Kino,44391,6,10721,6,6/6/03
62,Hammett,WB,42914,-,n/a,-,9/17/82
63,Death of the Virgin,Indic.,25247,3,8628,3,2/10/12
64,Trouble in Mind,Aliv,19632,1,16029,1,12/11/85
65,The Missing Person,Strand,17896,3,2715,1,11/20/09
66,Dark Streets,Gold.,16815,18,10958,18,12/12/08
67,Welcome to the Punch,IFC,7034,9,2736,2,3/27/13
68,Apart (2012),Truly,3161,2,3161,2,3/9/12
