Country,Dist.,Release Date,Opening Wknd,% of Total,Total Gross,As Of
Argentina,BVI,8/4/05,164837,26.2%,629114,10/27/05
Australia,BVI,7/14/05,1451231,30.2%,4803731,9/4/05
Austria,-,8/11/05,-,-,1867879,9/30/05
Belgium,-,6/2/05,-,-,1269916,7/14/05
Brazil,-,7/29/05,-,-,2351101,8/28/05
Bulgaria,Alexandra,6/3/05,26508,36.8%,72046,8/7/05
Chile,-,8/25/05,-,-,357078,11/10/05
Czech Republic,SPI Int'l,7/21/05,108129,18.9%,573073,10/9/05
Denmark,-,6/2/05,-,-,1310345,7/12/05
Finland,FS Film,7/22/05,315467,33.5%,942458,10/20/05
France,Pan Euro,6/2/05,2942769,35.9%,8199306,7/19/05
Germany,BVI,8/11/05,2332518,25.4%,9188301,10/20/05
Greece,-,7/22/05,-,-,1390500,8/28/05
Hong Kong,PE,6/2/05,257872,69.5%,371047,6/22/05
Hungary,SPI Int'l,6/2/05,89682,19%,471417,7/10/05
Iceland,-,7/7/05,-,-,226963,8/25/05
Italy,BVI,6/1/05,1032717,20.2%,5110980,8/14/05
Japan,GAGA,10/1/05,1441267,24%,5994898,10/23/05
Lebanon,-,7/7/05,9810,41.6%,23599,7/17/05
Mexico,-,7/22/05,-,-,2900891,9/30/05
Netherlands,RCV 2001,6/2/05,287274,22.5%,1278915,8/7/05
New Zealand,BVI,8/11/05,208685,32.3%,646257,10/2/05
Norway,Svensk,7/7/05,173529,12.5%,1385892,10/2/05
Poland,SPI Int'l,6/9/05,255339,24.1%,1060116,7/24/05
Portugal,LNK,6/9/05,207507,38.8%,534961,8/10/05
Romania,-,N/A,-,-,62189,9/15/05
Russia,-,6/3/05,-,-,2050000,6/26/05
Russia - CIS,-,5/30/05,452866,23.3%,1946322,6/26/05
Serbia & Montenegro,-,6/16/05,-,-,22581,8/14/06
Slovakia,SPI Int'l,7/21/05,29803,21.7%,137474,9/25/05
South Africa (Entire Region),-,10/7/05,91563,41.5%,220468,10/23/05
South Korea,Show East,7/2/05,1003884,46%,2181077,7/17/05
Spain,BVI,8/12/05,1498988,24.6%,6102303,10/28/05
Sweden,-,7/2/05,-,-,1206118,8/29/05
Switzerland,-,6/3/05,-,-,1321966,10/2/05
Taiwan,-,5/28/05,172368,36%,478591,6/26/05
Thailand,-,5/26/05,108700,100%,108700,5/29/05
Turkey,WB,7/15/05,170104,24.4%,698481,8/28/05
United Kingdom,BVI,6/3/05,4454352,34.5%,12899526,9/16/05
